date,quartier,vente_psqm_01,loyer_psqm_01,rendement_wc_01,apparies,taux_delistage_pct,config_version
2026-07-06,Bang Bon,39286,,,0,,1
2026-07-06,Bang Kapi,71821,428.6,5.66,25,,1
2026-07-06,Bang Khae,63289,339.2,,4,,1
2026-07-06,Bang Khen,75600,460.3,,2,,1
2026-07-06,Bang Kho Laem,111246,499.6,5.14,12,15.4,1
2026-07-06,Bang Khun Thian,63043,,,0,,1
2026-07-06,Bang Na,89141,492.6,,2,,1
2026-07-06,Bang Na,82115,399.2,5.73,24,42.3,1
2026-07-06,Bang Phlat,81373,409.2,5.35,17,,1
2026-07-06,Bang Rak,167093,621.1,4.46,30,35.6,1
2026-07-06,Bang Sue,81362,384.3,5.51,16,7.9,1
2026-07-06,Bangkok Noi,80731,406.8,5.61,20,,1
2026-07-06,Bangkok Yai,84273,386.1,5.38,11,,1
2026-07-06,Bearing,,551.7,,0,,1
2026-07-06,Bueng Kum,53722,277.2,5.98,19,,1
2026-07-06,Chatuchak,94502,512.1,5.23,44,13.9,1
2026-07-06,Chom Thong,71816,319,5.65,16,,1
2026-07-06,Din Daeng,101260,472.2,4.99,17,,1
2026-07-06,Don Mueang,75000,293.2,,1,,1
2026-07-06,Dusit,136364,468.1,,1,,1
2026-07-06,Huai Khwang,92995,490,5.38,50,24.2,1
2026-07-06,Khan Na Yao,71154,314.3,,4,,1
2026-07-06,Khlong San,106522,459.5,4.96,26,21.1,1
2026-07-06,Khlong Toei,141625,614.6,5.15,85,37.4,1
2026-07-06,Lak Si,64337,,,0,,1
2026-07-06,Lat Krabang,53745,313.6,,1,,1
2026-07-06,Lat Phrao,86199,451.6,,3,,1
2026-07-06,Min Buri,73478,305.8,5.57,6,,1
2026-07-06,Pak Kret,66465,,,0,,1
2026-07-06,Pathum Wan,179259,804.4,4.66,30,41.2,1
2026-07-06,Phasi Charoen,67046,342.9,5.81,17,15.8,1
2026-07-06,Phaya Thai,119048,505.1,4.86,23,38,1
2026-07-06,Phra Khanong,90000,485.4,5.55,34,,1
2026-07-06,Phra Nakhon,86486,370.6,,1,,1
2026-07-06,Pom Prap Sattru Phai,106667,400,,1,,1
2026-07-06,Prawet,62625,368.9,,3,,1
2026-07-06,Rat Burana,64039,285.7,5.78,9,,1
2026-07-06,Ratchathewi,155556,602.7,4.72,41,40.9,1
2026-07-06,Sai Mai,70153,245.5,,0,,1
2026-07-06,Saphan Sung,64200,,,0,,1
2026-07-06,Sathon,135625,523.3,5.06,26,17.5,1
2026-07-06,Suan Luang,66071,415.6,5.84,16,33.3,1
2026-07-06,Taling Chan,47450,260.4,,1,,1
2026-07-06,Thon Buri,86038,395.2,5.55,22,,1
2026-07-06,Thung Khru,66458,403.2,,1,,1
2026-07-06,Vadhana,139220,586.7,5.24,134,35.9,1
2026-07-06,Wang Thonglang,52778,344.8,6.42,18,,1
2026-07-06,Yan Nawa,83944,365.2,5.46,17,30,1
2026-07-09,Bang Bon,39286,,,0,,1
2026-07-09,Bang Kapi,71821,428.6,5.66,25,,1
2026-07-09,Bang Khae,63289,339.2,,4,,1
2026-07-09,Bang Khen,75600,460.3,,2,,1
2026-07-09,Bang Kho Laem,111246,499.6,5.14,12,15.4,1
2026-07-09,Bang Khun Thian,63043,,,0,,1
2026-07-09,Bang Na,89141,492.6,,2,,1
2026-07-09,Bang Na,82115,399.2,5.73,24,42.3,1
2026-07-09,Bang Phlat,81373,409.2,5.35,17,,1
2026-07-09,Bang Rak,167093,621.1,4.46,30,35.6,1
2026-07-09,Bang Sue,81362,384.3,5.51,16,7.9,1
2026-07-09,Bangkok Noi,80731,406.8,5.61,20,,1
2026-07-09,Bangkok Yai,84273,386.1,5.38,11,,1
2026-07-09,Bearing,,551.7,,0,,1
2026-07-09,Bueng Kum,53722,277.2,5.98,19,,1
2026-07-09,Chatuchak,94502,512.1,5.23,44,13.9,1
2026-07-09,Chom Thong,71816,319,5.65,16,,1
2026-07-09,Din Daeng,101260,472.2,4.99,17,,1
2026-07-09,Don Mueang,75000,293.2,,1,,1
2026-07-09,Dusit,136364,468.1,,1,,1
2026-07-09,Huai Khwang,92995,490,5.38,50,24.2,1
2026-07-09,Khan Na Yao,71154,314.3,,4,,1
2026-07-09,Khlong San,106522,459.5,4.96,26,21.1,1
2026-07-09,Khlong Toei,141625,614.6,5.15,85,37.4,1
2026-07-09,Lak Si,64337,,,0,,1
2026-07-09,Lat Krabang,53745,313.6,,1,,1
2026-07-09,Lat Phrao,86199,451.6,,3,,1
2026-07-09,Min Buri,73478,305.8,5.57,6,,1
2026-07-09,Pak Kret,66465,,,0,,1
2026-07-09,Pathum Wan,179259,804.4,4.66,30,41.2,1
2026-07-09,Phasi Charoen,67046,342.9,5.81,17,15.8,1
2026-07-09,Phaya Thai,119048,505.1,4.86,23,38,1
2026-07-09,Phra Khanong,90000,485.4,5.55,34,,1
2026-07-09,Phra Nakhon,86486,370.6,,1,,1
2026-07-09,Pom Prap Sattru Phai,106667,400,,1,,1
2026-07-09,Prawet,62625,368.9,,3,,1
2026-07-09,Rat Burana,64039,285.7,5.78,9,,1
2026-07-09,Ratchathewi,155556,602.7,4.72,41,40.9,1
2026-07-09,Sai Mai,70153,245.5,,0,,1
2026-07-09,Saphan Sung,64200,,,0,,1
2026-07-09,Sathon,135625,523.3,5.06,26,17.5,1
2026-07-09,Suan Luang,66071,415.6,5.84,16,33.3,1
2026-07-09,Taling Chan,47450,260.4,,1,,1
2026-07-09,Thon Buri,86038,395.2,5.55,22,,1
2026-07-09,Thung Khru,66458,403.2,,1,,1
2026-07-09,Vadhana,139220,586.7,5.24,134,35.9,1
2026-07-09,Wang Thonglang,52778,344.8,6.42,18,,1
2026-07-09,Yan Nawa,83944,365.2,5.46,17,30,1
2026-08-03,Bang Bon,39286,257.4,,0,,2
2026-08-03,Bang Kapi,62826,439.2,6.06,23,,2
2026-08-03,Bang Khae,55905,326.9,5.77,7,,2
2026-08-03,Bang Khen,68385,365.2,5.79,9,,2
2026-08-03,Bang Kho Laem,95453,593.8,4.31,11,,2
